"","CNTSCHID","BELONG","ST001D01T","AGE","ST004D01T","MOTIVAT","COOPERATE","EMOSUPS","unfairteacher","ESCS","ST038Q01NA","ST038Q02NA","ST038Q03NA","ST038Q04NA","ST038Q05NA","ST038Q06NA","ST038Q07NA","ST038Q08NA","SCHSIZE","CLSIZE","SCHLTYPE"
"1",15200001,"-2,1165",9,"15,33",2,",959",",9455","1,0991",9,",9",7,7,1,1,1,1,1,1,672,38,3
"2",15200001,",1802",10,"15,5",1,",5952","1,5604","1,0991",10,"-2,6394",7,7,1,1,1,1,1,1,672,38,3
"3",15200001,",4597",9,"16,25",2,"-,2111","-,6455",",1018",14,"-1,0541",7,7,2,1,1,1,1,9,672,38,3
"4",15200001,"-1,4214",10,"15,5",1,",4631",",5759","1,0991",7,"-1,4368",7,7,1,2,1,1,1,2,672,38,3
"5",15200001,"-,7985",10,"15,92",1,"-,1651",",2835","-1,654",10,"-1,2585",7,7,4,4,1,1,1,4,672,38,3
"6",15200001,"-,0621",10,"15,5",1,",3377","-,2882","-,4263",7,"-,2016",7,7,1,1,1,1,1,1,672,38,3
"7",15200001,"-,1144",10,"15,75",1,"-2,3316",",9455","-2,2934",7,"-2,1495",7,7,1,2,1,2,1,1,672,38,3
"8",15200001,"-,7104",10,"16",2,"-,1163","-,2882","-,889",7,"-1,6709",7,7,1,1,1,1,1,1,672,38,3
"9",15200001,",3171",10,"15,58",2,",1111","-,2882",",025",6,"-1,0239",7,7,1,1,1,1,1,1,672,38,3
"10",15200001,",0248",10,"15,92",2,",9799","-,2882","-,2511",6,"-1,8944",7,7,1,1,1,1,1,1,672,38,3
"11",15200001,"-,3381",10,"15,75",1,"-,8771","-,2882","-1,9546",7,"-,8158",7,7,1,1,1,1,1,2,672,38,3
"12",15200001,"-,3381",10,"15,83",1,"-,4849","-,9705","-,2511",7,"-1,0555",7,7,1,2,1,1,2,2,672,38,3
"13",15200001,"-,3381",9,"15,42",2,",515","-,6455","-,2511",10,"-,3099",7,7,1,1,1,1,1,1,672,38,3
"14",15200001,"-,3381",9,"15,83",2,"-,1651","-,2882",",4662",7,"-,4933",7,7,1,2,1,2,1,2,672,38,3
